"name","constant","operant","region","atlas_id"
"agec1",-39.3069468692576,"agec1 * agec","Rostral_middle_frontal_RV","DKT40  "
"agec2",0.530226726307224,"agec2 * pow(agec, 2)","Rostral_middle_frontal_RV","DKT40  "
"agec3",-0.00862873076242833,"agec3 * pow(agec, 3)","Rostral_middle_frontal_RV","DKT40  "
"AGEc_X_SEXq",0,"AGEc_X_SEXq * agec * [gender]","Rostral_middle_frontal_RV","DKT40  "
"eTIVc1",0.00567500890698595,"eTIVc1 * eTIVc","Rostral_middle_frontal_RV","DKT40  "
"eTIVc2",3.27911809594389e-09,"eTIVc2 * pow(eTIVc, 2)","Rostral_middle_frontal_RV","DKT40  "
"eTIVc3",-3.23403106085418e-15,"eTIVc3 * pow(eTIVc, 3)","Rostral_middle_frontal_RV","DKT40  "
"eTIVc_X_GE",0,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Rostral_middle_frontal_RV","DKT40  "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Rostral_middle_frontal_RV","DKT40  "
"eTIVc_X_PHILIPS",0,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Rostral_middle_frontal_RV","DKT40  "
"GE",168.357545478138,"GE * G_[modality_manuf_id]","Rostral_middle_frontal_RV","DKT40  "
"GE_X_MFSq",-422.520117026481,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Rostral_middle_frontal_RV","DKT40  "
"Intercept",9747.12836123946,"Intercept","Rostral_middle_frontal_RV","DKT40  "
"MFSq",36.4707601217184,"MFSq * [magnetic_field_strength]","Rostral_middle_frontal_RV","DKT40  "
"Philips",-185.181216907005,"Philips * P_[modality_manuf_id]","Rostral_middle_frontal_RV","DKT40  "
"PHILIPS_X_MFSq",-73.3986395901643,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Rostral_middle_frontal_RV","DKT40  "
"RMSE",1244.54570024568,"RMSE","Rostral_middle_frontal_RV","DKT40  "
"sexq",0,"sexq * [gender]","Rostral_middle_frontal_RV","DKT40  "
"Volume",0,"[volume]","Rostral_middle_frontal_RV","DKT40  "
"agec1",-149.520719037596,"agec1 * agec","SubCortGrayVol","SUBCOR "
"agec2",-0.0678126726328182,"agec2 * pow(agec, 2)","SubCortGrayVol","SUBCOR "
"agec3",-0.0128354473389667,"agec3 * pow(agec, 3)","SubCortGrayVol","SUBCOR "
"AGEc_X_SEXq",-41.8171789698985,"AGEc_X_SEXq * agec * [gender]","SubCortGrayVol","SUBCOR "
"eTIVc1",0.0200213349841362,"eTIVc1 * eTIVc","SubCortGrayVol","SUBCOR "
"eTIVc2",7.22389939146713e-09,"eTIVc2 * pow(eTIVc, 2)","SubCortGrayVol","SUBCOR "
"eTIVc3",0,"eTIVc3 * pow(eTIVc, 3)","SubCortGrayVol","SUBCOR "
"eTIVc_X_GE",0,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","SubCortGrayVol","SUBCOR "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","SubCortGrayVol","SUBCOR "
"eTIVc_X_PHILIPS",0,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","SubCortGrayVol","SUBCOR "
"GE",623.364658233647,"GE * G_[modality_manuf_id]","SubCortGrayVol","SUBCOR "
"GE_X_MFSq",-1696.3298527892,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","SubCortGrayVol","SUBCOR "
"Intercept",56155.5585264129,"Intercept","SubCortGrayVol","SUBCOR "
"MFSq",-96.3014217691095,"MFSq * [magnetic_field_strength]","SubCortGrayVol","SUBCOR "
"Philips",-330.782099769059,"Philips * P_[modality_manuf_id]","SubCortGrayVol","SUBCOR "
"PHILIPS_X_MFSq",-1685.82939551286,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","SubCortGrayVol","SUBCOR "
"RMSE",3369.97345820409,"RMSE","SubCortGrayVol","SUBCOR "
"sexq",1319.83363311151,"sexq * [gender]","SubCortGrayVol","SUBCOR "
"Volume",0,"[volume]","SubCortGrayVol","SUBCOR "
"agec1",-13.706513581007,"agec1 * agec","Superior_frontal_LS","DKT40  "
"agec2",-0.0672638777247977,"agec2 * pow(agec, 2)","Superior_frontal_LS","DKT40  "
"agec3",0,"agec3 * pow(agec, 3)","Superior_frontal_LS","DKT40  "
"AGEc_X_SEXq",0,"AGEc_X_SEXq * agec * [gender]","Superior_frontal_LS","DKT40  "
"eTIVc1",0.00398236157909978,"eTIVc1 * eTIVc","Superior_frontal_LS","DKT40  "
"eTIVc2",1.19140471002887e-09,"eTIVc2 * pow(eTIVc, 2)","Superior_frontal_LS","DKT40  "
