"name","constant","operant","region","atlas_id"
"MFSq",-69.1055140380903,"MFSq * [magnetic_field_strength]","Brain_Stem","SUBCOR "
"Philips",202.887173298431,"Philips * P_[modality_manuf_id]","Brain_Stem","SUBCOR "
"PHILIPS_X_MFSq",-300.174101743961,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Brain_Stem","SUBCOR "
"RMSE",1846.95695672639,"RMSE","Brain_Stem","SUBCOR "
"sexq",533.001693991324,"sexq * [gender]","Brain_Stem","SUBCOR "
"Volume",0,"[volume]","Brain_Stem","SUBCOR "
"agec1",-0.281384172097473,"agec1 * agec","Caudal_anterior_cingulate_LS","DK     "
"agec2",0.00306283332832401,"agec2 * pow(agec, 2)","Caudal_anterior_cingulate_LS","DK     "
"agec3",-0.000552827069929894,"agec3 * pow(agec, 3)","Caudal_anterior_cingulate_LS","DK     "
"AGEc_X_SEXq",0,"AGEc_X_SEXq * agec * [gender]","Caudal_anterior_cingulate_LS","DK     "
"eTIVc1",0.000376486062765646,"eTIVc1 * eTIVc","Caudal_anterior_cingulate_LS","DK     "
"eTIVc2",1.41335179841412e-10,"eTIVc2 * pow(eTIVc, 2)","Caudal_anterior_cingulate_LS","DK     "
"eTIVc3",-2.83696578195203e-16,"eTIVc3 * pow(eTIVc, 3)","Caudal_anterior_cingulate_LS","DK     "
"eTIVc_X_GE",9.85606739892882e-05,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Caudal_anterior_cingulate_LS","DK     "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Caudal_anterior_cingulate_LS","DK     "
"eTIVc_X_PHILIPS",-1.48095589239129e-05,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Caudal_anterior_cingulate_LS","DK     "
"GE",-19.1433161728032,"GE * G_[modality_manuf_id]","Caudal_anterior_cingulate_LS","DK     "
"GE_X_MFSq",0,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Caudal_anterior_cingulate_LS","DK     "
"Intercept",648.483660527175,"Intercept","Caudal_anterior_cingulate_LS","DK     "
"MFSq",0,"MFSq * [magnetic_field_strength]","Caudal_anterior_cingulate_LS","DK     "
"Philips",-20.4213596180684,"Philips * P_[modality_manuf_id]","Caudal_anterior_cingulate_LS","DK     "
"PHILIPS_X_MFSq",0,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Caudal_anterior_cingulate_LS","DK     "
"RMSE",124.213807606079,"RMSE","Caudal_anterior_cingulate_LS","DK     "
"sexq",-8.26052693599509,"sexq * [gender]","Caudal_anterior_cingulate_LS","DK     "
"Volume",0,"[volume]","Caudal_anterior_cingulate_LS","DK     "
"agec1",-0.000309968876267704,"agec1 * agec","Caudal_anterior_cingulate_LT","DK     "
"agec2",0.000115692439980909,"agec2 * pow(agec, 2)","Caudal_anterior_cingulate_LT","DK     "
"agec3",0,"agec3 * pow(agec, 3)","Caudal_anterior_cingulate_LT","DK     "
"AGEc_X_SEXq",-0.00109352563686628,"AGEc_X_SEXq * agec * [gender]","Caudal_anterior_cingulate_LT","DK     "
"eTIVc1",-9.34935551962017e-08,"eTIVc1 * eTIVc","Caudal_anterior_cingulate_LT","DK     "
"eTIVc2",0,"eTIVc2 * pow(eTIVc, 2)","Caudal_anterior_cingulate_LT","DK     "
"eTIVc3",0,"eTIVc3 * pow(eTIVc, 3)","Caudal_anterior_cingulate_LT","DK     "
"eTIVc_X_GE",0,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Caudal_anterior_cingulate_LT","DK     "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Caudal_anterior_cingulate_LT","DK     "
"eTIVc_X_PHILIPS",0,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Caudal_anterior_cingulate_LT","DK     "
"GE",0.0351783517844174,"GE * G_[modality_manuf_id]","Caudal_anterior_cingulate_LT","DK     "
"GE_X_MFSq",0.123060905392996,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Caudal_anterior_cingulate_LT","DK     "
"Intercept",2.60072576325004,"Intercept","Caudal_anterior_cingulate_LT","DK     "
"MFSq",-0.201882067482292,"MFSq * [magnetic_field_strength]","Caudal_anterior_cingulate_LT","DK     "
"Philips",-0.00261788515653673,"Philips * P_[modality_manuf_id]","Caudal_anterior_cingulate_LT","DK     "
"PHILIPS_X_MFSq",0.219119531558317,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Caudal_anterior_cingulate_LT","DK     "
"RMSE",0.269983332818898,"RMSE","Caudal_anterior_cingulate_LT","DK     "
"sexq",-0.0373690473825745,"sexq * [gender]","Caudal_anterior_cingulate_LT","DK     "
"Volume",0,"[volume]","Caudal_anterior_cingulate_LT","DK     "
"agec1",-2.12677336151217,"agec1 * agec","Caudal_anterior_cingulate_LV","DK     "
"agec2",0.0981189842398053,"agec2 * pow(agec, 2)","Caudal_anterior_cingulate_LV","DK     "
"agec3",-0.00194826125249073,"agec3 * pow(agec, 3)","Caudal_anterior_cingulate_LV","DK     "
"AGEc_X_SEXq",-1.13865553173699,"AGEc_X_SEXq * agec * [gender]","Caudal_anterior_cingulate_LV","DK     "
